x,c03,observed_z03,m0_pole,m1_pole_lzeros,m2_pole_lzeros_cross,split
5784,-886.2353457754534,-0.0020146826230919603,-0.0020779448697638677,-0.0020240238858866035,-0.0020253428312526824,discovery
5834,-885.0811803086928,-0.0019862479828355994,-0.0020690212483996085,-0.0019951551103651564,-0.0019967568884891053,discovery
5885,-883.994666766471,-0.0019580778024448657,-0.0020600365677233713,-0.001966621029835066,-0.0019684538281809806,discovery
5936,-882.9068279295852,-0.0019305188077797632,-0.002051167926960051,-0.0019389178593997457,-0.0019408110348893659,discovery
5987,-881.9039482437183,-0.0019037389682297848,-0.002042412849606682,-0.0019120436508614572,-0.001913939817869608,discovery
6039,-881.1397122720782,-0.00187757472591943,-0.0020336005393232926,-0.0018856010839242566,-0.0018875913961806624,discovery
6092,-880.5890915425025,-0.0018519679189191738,-0.002024735119475807,-0.0018598094372491603,-0.0018618452802118808,discovery
6144,-880.2449668931249,-0.0018277918646420182,-0.002016148697963223,-0.001835771846143846,-0.0018376609831585017,discovery
6198,-880.258767012564,-0.0018039853290126096,-0.002007346648517055,-0.001812202942489051,-0.0018138150970642968,discovery
6252,-880.7556772374128,-0.0017816688919238186,-0.0019986588848136394,-0.0017900781305760377,-0.0017913204640873533,discovery
6306,-881.69729021682,-0.0017607129417220636,-0.001990082954927227,-0.0017694380778501835,-0.0017701992360233231,discovery
6361,-883.1107067118091,-0.0017407125351688486,-0.0019814607108615385,-0.0017500152025001444,-0.001750263424312394,discovery
6416,-885.222496480435,-0.0017224868274374981,-0.0019729495747093945,-0.0017322686407650596,-0.0017319983299780373,discovery
6472,-888.1089786447219,-0.0017057229697440143,-0.001964395401857757,-0.0017159199096871602,-0.0017150524707251439,discovery
6528,-891.649049897972,-0.0016905333102672393,-0.001955951538506797,-0.0017012264673269652,-0.0016997718617241515,discovery
6585,-895.951784720211,-0.001676683034539864,-0.0019474677456974973,-0.0016878345019787076,-0.001685896554435616,discovery
6642,-900.9612852182709,-0.0016644004426546344,-0.001939093397256233,-0.0016758552938600296,-0.0016735560196632034,discovery
6699,-906.625020703562,-0.0016535324937429316,-0.0019308261601130162,-0.0016650915064164865,-0.001662565656839753,discovery
6758,-913.0241908294154,-0.001643444352315205,-0.00192237924729633,-0.0016549731245963648,-0.0016523664778637797,discovery
6816,-919.6752019490118,-0.001634331320762519,-0.0019141826359473375,-0.001645755772631337,-0.0016431919173349066,discovery
6875,-926.7016798245359,-0.0016256644044006865,-0.001905951354380801,-0.0016368507191139162,-0.0016344174156719803,discovery
6935,-933.997201951775,-0.0016172452232524287,-0.001897688520583428,-0.0016280711900719556,-0.0016258581144126677,discovery
6995,-941.3431418836205,-0.0016090383108447123,-0.001889532228448374,-0.0016194366037358891,-0.0016175468728126764,discovery
7056,-948.8095246259854,-0.0016008151195638725,-0.001881346878318695,-0.0016107358402800824,-0.0016092555454633379,discovery
7117,-956.3542714354817,-0.0015928444006921634,-0.0018732669902695323,-0.001602104879801709,-0.0016011301021391338,discovery
7179,-964.1336682292273,-0.0015850439871739415,-0.0018651604014276845,-0.0015934743831477337,-0.0015932169214442592,discovery
7241,-972.1347509579336,-0.001577715335542919,-0.0018571581539576713,-0.0015851356837855422,-0.0015857820306273574,discovery
7304,-980.4388016994176,-0.0015706497289656209,-0.0018491314320916948,-0.0015771418535322807,-0.001578636244270203,discovery
7368,-988.9983410854502,-0.0015637637353150132,-0.0018410829436951292,-0.0015696479649211154,-0.001571677603094965,discovery
7432,-997.7356579698089,-0.001557244989622383,-0.0018331386436642003,-0.0015628179767985366,-0.0015650577750594352,discovery
7496,-1006.7386712219866,-0.0015512163885226798,-0.0018252963033467148,-0.0015566159676604202,-0.0015588850768959112,discovery
7561,-1016.1113130206777,-0.0015455121712492465,-0.0018174335636076872,-0.0015509349659671395,-0.0015531269349575568,discovery
