x,c05,observed_z05,m0_local,m1_local_lzeros,m2_local_lzeros_cross,split
4700,-5312.847289238857,-0.016488477120732727,-0.016045051326778734,-0.016507719123481573,-0.016505375458563638,discovery
4741,-5349.07324406695,-0.016386024945837428,-0.015996546016488127,-0.016404383901398544,-0.016402544303208484,discovery
4782,-5384.891087631321,-0.01628405521200286,-0.015948575931548976,-0.016301472121414865,-0.016300222275583143,discovery
4823,-5420.381333042859,-0.016182810481231016,-0.01590113081715857,-0.01619933304456477,-0.01619866398413547,discovery
4865,-5456.481712010465,-0.016080088589009663,-0.015853062411813824,-0.016095802618488492,-0.016095595247188524,discovery
4908,-5493.236288268714,-0.015976124977401474,-0.015804398508647902,-0.015991194781404896,-0.01599133130603307,discovery
4950,-5529.058462218231,-0.01587608383726568,-0.015757392201461103,-0.015890542943698363,-0.015891033714261607,discovery
4993,-5565.701640428283,-0.015775298016315057,-0.015709794715010623,-0.01578921079242309,-0.015790042262734002,discovery
5036,-5602.338355852516,-0.01567619844391769,-0.015662721245405298,-0.01568978542500793,-0.015690789210488637,discovery
5080,-5639.971315757439,-0.015576910578921715,-0.015615085038048778,-0.015590186398120816,-0.015591237141265795,discovery
5124,-5677.762991594872,-0.015479737011395121,-0.015567976586447709,-0.015492846390650794,-0.015493903765042508,discovery
5169,-5716.625150299548,-0.015382606033736222,-0.015520332798903639,-0.015395631733979839,-0.015396607848715896,discovery
5214,-5755.724647922978,-0.015287746370614948,-0.015473219861916267,-0.015300723430353687,-0.015301532273409116,discovery
5259,-5795.049714179177,-0.015195059667419873,-0.015426627512972425,-0.015208074633651094,-0.015208744266669088,discovery
5305,-5835.609364950597,-0.015102822915626275,-0.015379527457246212,-0.015115701534437892,-0.015116285402953674,discovery
5351,-5876.502434594824,-0.015012965754653081,-0.01533295058796348,-0.015025722332568088,-0.015026286233096002,discovery
5397,-5917.832778546306,-0.014925677788343158,-0.01528688682348327,-0.014938182460743814,-0.014938892890330263,discovery
5444,-5960.554391551073,-0.01483916557079314,-0.015240341430809745,-0.014851323154793913,-0.014852315767188257,discovery
5491,-6003.781127733037,-0.014755287833750453,-0.015194311286100567,-0.014767177403269001,-0.014768375589815983,discovery
5539,-6048.51240277717,-0.014672412485168478,-0.015147823303535667,-0.014684179029116548,-0.014685365933008806,discovery
5587,-6093.846246952944,-0.014592291119937954,-0.015101852162694523,-0.014604270032374663,-0.014605261770978453,discovery
5636,-6140.96376090169,-0.014513764029505757,-0.015055446046704286,-0.014525939952735824,-0.014526745250360682,discovery
5685,-6189.075918815606,-0.014438766943628572,-0.01500955784095209,-0.01445087296004817,-0.014451679926313011,discovery
5734,-6238.177340356602,-0.014367168455399397,-0.014964177523393116,-0.014379020555045982,-0.014380012251934419,discovery
5784,-6289.187376233667,-0.014297236711068487,-0.014918384504393605,-0.01430895471304711,-0.014310149548647687,discovery
5834,-6341.12573014026,-0.014230387528978067,-0.014873100096746826,-0.014242081936095016,-0.014243284798808244,discovery
5885,-6395.033845896367,-0.014165214214851462,-0.014827423817468951,-0.014176996482601172,-0.014178024071150744,discovery
5936,-6449.825729917191,-0.014102858291067635,-0.014782256403553724,-0.014114841094538873,-0.01411562416883727,discovery
5987,-6505.417194467083,-0.014043044304725711,-0.014737588028410693,-0.014055401309486902,-0.014055820254202486,discovery
6039,-6562.971011766265,-0.01398469315026092,-0.01469254771192253,-0.013997462381472425,-0.013997421871327038,discovery
6092,-6622.6260973644985,-0.013928052469775527,-0.014647154672176017,-0.013941160162397255,-0.013940660023050487,discovery
6144,-6682.097889361605,-0.01387509684267203,-0.014603112120701952,-0.013888664389323778,-0.013887635159580547,discovery
6198,-6744.903031804293,-0.013822874103580437,-0.014557883478842414,-0.013837076336927306,-0.013835427352793726,discovery
6252,-6808.953853510811,-0.013773741777511084,-0.014513162255620686,-0.013788505850016968,-0.013786331113686547,discovery
6306,-6874.405353721835,-0.01372790254347384,-0.014468938587909366,-0.013743005388624432,-0.013740430203804511,discovery
