zero_height,zero_index,ordinate,theoretical_real,theoretical_imag,estimated_real,estimated_imag,amplitude_ratio,phase_error
143.0,40,122.94682929355258,-8.728494773072129e-09,-5.686579760865962e-10,-6.786658639901556e-08,-2.0221569849072132e-07,24.385552332940726,1.1819361739935583
143.0,41,124.25681855434577,-8.366684451785133e-09,-5.39325501236465e-10,-2.895024807058252e-08,2.2876443273261621e-07,27.50329649400194,-1.5092870178965152
143.0,42,127.5166838795965,-7.544433447667364e-09,-4.738607711461521e-10,-1.2582579942402323e-07,-1.6032983726824358e-07,26.96125416997643,0.8426697942726378
143.0,43,129.57870419995604,-7.07613311806458e-09,-4.3735859221704143e-10,-2.3697366856554378e-07,8.050163936989212e-08,35.30137618803776,-0.3892049848078847
143.0,44,131.08768853093267,-6.75628675283891e-09,-4.127721171569568e-10,-4.525003043533556e-09,-2.35602899258128e-07,34.81317550557738,1.4905739491073733
143.0,45,133.4977372029976,-6.28200855845688e-09,-3.7685286898198123e-10,1.5329809114862658e-07,1.9011725464371264e-07,38.80681469403487,-2.309305244509363
143.0,46,134.75650975337388,-6.050822178494511e-09,-3.595864640257015e-10,2.5286564230473814e-08,-2.3998345916485427e-07,39.81062108095612,1.6164190127364064
143.0,47,138.11604205453344,-5.4838525613390686e-09,-3.1794995494679986e-10,1.4069407070726872e-07,9.804584955707381e-08,31.218845268544232,-2.5908831356356132
143.0,48,139.7362089521214,-5.234181219533844e-09,-2.999487574627924e-10,-1.0485716374348638e-07,1.6713661171074004e-07,37.6339396067941,-1.0677348486547296
143.0,49,141.12370740402113,-5.031566009990326e-09,-2.8549749156213284e-10,6.48554485881735e-08,-1.9701712388427957e-07,41.15702792210634,1.8321299232948756
