x,c2,observed_z1,split
2947,360049.00765189645,-0.011364015062317845,discovery
2972,366198.8757016873,-0.011318180638646267,discovery
2998,372650.33171958034,-0.011269004105513509,discovery
3024,379158.5158384512,-0.01121808912042092,discovery
3050,385723.3779373206,-0.011165810541620103,discovery
3077,392600.78749042354,-0.011109776084398778,discovery
3104,399539.36959581706,-0.011052120856625932,discovery
3131,406539.1417890587,-0.01099281968083107,discovery
3158,413600.0568753737,-0.010932213860423557,discovery
3185,420722.006069737,-0.010870970470645282,discovery
3213,428172.1581216424,-0.010807042600685166,discovery
3241,435687.8240766956,-0.010743178190058903,discovery
3269,443268.91277410416,-0.010679875745142913,discovery
3297,450915.2554186748,-0.01061801839775186,discovery
3326,458903.41843966674,-0.010555715099270781,discovery
3355,466961.55250951834,-0.010495004134169624,discovery
3384,475089.57853472885,-0.01043623890883958,discovery
3413,483287.4964363279,-0.0103793579599605,discovery
3443,491841.57501641684,-0.010322804801666672,discovery
3473,500470.32988731423,-0.010268712229127864,discovery
3503,509173.67371561425,-0.0102174187151223,discovery
3533,517951.5486427047,-0.0101691042806859,discovery
3564,527100.2294079247,-0.010122619203277713,discovery
3595,536328.3924344042,-0.010079553036267582,discovery
3626,545636.1227606514,-0.0100393951657493,discovery
3658,555327.5569472869,-0.010000904129814747,discovery
3689,564797.0397508692,-0.009966120016432295,discovery
3721,574655.5624009755,-0.009932458072222478,discovery
3754,584911.2008736825,-0.009899542028957918,discovery
3786,594942.4580569994,-0.00986906433379823,discovery
3819,605376.3680306724,-0.009838729745534592,discovery
3852,615900.7999817426,-0.009809581307372597,discovery
3886,626838.939432017,-0.009780307778114374,discovery
3920,637873.3143590577,-0.009751637124488998,discovery
3954,649003.9947538886,-0.009723271838853553,discovery
3988,660231.0112367165,-0.009695085673186329,discovery
4023,671888.9812241383,-0.00966579025617678,discovery
4058,683649.2491919908,-0.009635877613640199,discovery
4093,695511.7270474632,-0.009605715021195685,discovery
4128,707476.3633228424,-0.009575513161607945,discovery
4164,719889.4415819552,-0.009544353474891873,discovery
4200,732410.7680817037,-0.009512551400521293,discovery
4237,745392.7145482199,-0.009479211904251285,discovery
4274,758488.9659585524,-0.009445406261145402,discovery
4311,771699.5861358577,-0.009410934803663253,discovery
4348,785024.774602456,-0.009375134822068918,discovery
4386,798829.3747890475,-0.00933698787347066,discovery
4424,812754.8545482126,-0.009297444434499988,discovery
4462,826801.2230141032,-0.009256535729394956,discovery
4501,841342.8187171803,-0.009213579959933268,discovery
4540,856011.5851903986,-0.009169838797342185,discovery
4580,871188.5726670432,-0.009124217375199193,discovery
4619,886114.8993456918,-0.009079137712647784,discovery
4659,901555.8999218848,-0.009032692040908742,discovery
4700,917521.5316305803,-0.008985081860084829,discovery
4741,933627.5507047405,-0.008937263989496267,discovery
4782,949873.8420256553,-0.00888960463259617,discovery
4823,966260.4170632148,-0.008842073413182988,discovery
4865,983192.1514960169,-0.00879343518705648,discovery
4908,1000679.4650689117,-0.008743985382636555,discovery
4950,1017908.7527913018,-0.008696714808814936,discovery
4993,1035700.3561497638,-0.008649627951941397,discovery
5036,1053645.8086610106,-0.008603922366306275,discovery
5080,1072167.8586493311,-0.008558528525211082,discovery
5124,1090851.1297126752,-0.00851412974441689,discovery
5169,1110125.9956827797,-0.008469139536461065,discovery
5214,1129569.699838085,-0.008424599747162765,discovery
5259,1149182.1569506559,-0.008380726027429375,discovery
5305,1169404.8178224186,-0.008336674072714233,discovery
5351,1189803.5382594084,-0.008293988646818972,discovery
5397,1210378.2884873333,-0.008252701759451019,discovery
5444,1231581.9920499525,-0.00821225268424359,discovery
5491,1252969.1852481957,-0.00817384373350683,discovery
5539,1275000.8058720827,-0.008136666980802896,discovery
5587,1297223.8134672553,-0.008101459867925037,discovery
5636,1320107.345743305,-0.00806715954815735,discovery
5685,1343190.4362246334,-0.008034515975877786,discovery
5734,1366473.0691804667,-0.008003509400121822,discovery
5784,1390436.6471270667,-0.007973280370540172,discovery
5834,1414608.1175557673,-0.00794437342257194,discovery
5885,1439477.0880365968,-0.00791642702506934,discovery
5936,1464562.333517502,-0.00788979628295859,discovery
5987,1489864.114479241,-0.007863875038701632,discovery
6039,1515885.0074566426,-0.007838041840426871,discovery
6092,1542638.0441947058,-0.007812226741212018,discovery
6144,1569113.604163113,-0.007787540125385977,discovery
6198,1596845.7582415743,-0.007762524860136831,discovery
6252,1624820.5331419846,-0.007738485795958561,discovery
6306,1653038.006187615,-0.007715236999374914,discovery
6361,1682027.7105923798,-0.007691942319081136,discovery
6416,1711269.4483939568,-0.007668915539076523,discovery
6472,1741302.0762191825,-0.007645215533997797,discovery
6528,1771596.3300046166,-0.007621144243079607,discovery
6585,1802700.4207959725,-0.00759592175374983,discovery
6642,1834075.7314014314,-0.007570056539889568,discovery
6699,1865722.1603215765,-0.007543764197641697,discovery
6758,1898764.5010468997,-0.007516201814684511,discovery
6816,1931529.878885541,-0.007488807039975679,discovery
6875,1965148.01041142,-0.007460870820658781,discovery
6935,1999633.607039107,-0.007432484147744513,discovery
6995,2034419.5959245358,-0.007403742408414544,discovery
7056,2070093.4788168399,-0.007373868209359366,discovery
7117,2106078.182910946,-0.007343121887196471,discovery
7179,2142971.48885837,-0.007310718806639339,discovery
