N,raw_counts,smooth_residual,desingularized_ratio,random_control
416,10.0,-5.078431372549019,0.8014038697749541,-4.941176470588232
418,11.0,-4.196078431372548,0.8148152816841688,35.90196078431373
420,30.0,14.666666666666666,0.814390111096183,-6.941176470588232
422,11.0,-4.313725490196079,0.9479831096616749,-17.431372549019606
424,12.0,-3.4117647058823533,1.015908754815127,-6.764705882352942
426,21.0,5.509803921568627,0.8905916443796384,-40.21568627450981
428,9.0,-6.490196078431373,0.7647187518687028,66.90196078431373
430,14.0,-1.6274509803921564,0.8764820542680485,-27.509803921568633
432,19.0,3.4117647058823533,0.80982638111234,53.43137254901961
434,13.0,-2.666666666666666,0.8899427135985589,28.274509803921568
436,11.0,-4.745098039215685,0.9232864928493796,-37.3921568627451
438,21.0,5.313725490196079,0.8745107151945016,109.15686274509804
440,14.0,-1.882352941176471,0.7957077526020131,-14.0
442,13.0,-2.784313725490197,0.9378322998034735,-15.862745098039213
444,21.0,5.1764705882352935,0.8543519039515997,-7.019607843137255
446,12.0,-3.862745098039216,0.9967603903670966,95.49019607843137
448,13.0,-2.901960784313726,0.9012100173679638,30.784313725490193
450,27.0,10.980392156862745,0.8397653856190256,-39.31372549019608
452,12.0,-4.03921568627451,0.9834527150811786,41.96078431372548
454,12.0,-4.235294117647058,0.9849908968133774,-38.13725490196077
456,24.0,7.686274509803923,0.9316427038646801,25.03921568627451
458,9.0,-7.333333333333332,0.734421288367269,4.647058823529411
460,16.0,-0.5686274509803937,0.9360838382278281,-29.01960784313725
462,28.0,11.470588235294116,0.8555717393789742,-11.745098039215684
464,12.0,-4.5882352941176485,0.9401332412216733,22.96078431372549
466,13.0,-3.627450980392158,1.0486005658123767,-51.372549019607845
468,24.0,7.352941176470587,0.888547620181515,-32.41176470588235
470,15.0,-1.764705882352942,0.8864320330165784,-11.098039215686278
472,13.0,-3.647058823529413,1.0260855186895865,-7.431372549019606
474,23.0,6.352941176470587,0.9091745428360637,29.686274509803923
476,14.0,-2.7058823529411775,0.8734461699741629,-37.15686274509804
478,11.0,-5.784313725490197,0.8722715429429795,-26.764705882352942
480,29.0,12.117647058823529,0.8635573522228491,-6.686274509803923
482,11.0,-5.9411764705882355,0.8674016757371892,-36.98039215686275
484,14.0,-3.0,0.9949359293441221,2.3921568627450984
486,23.0,6.0,0.905546372616954,-8.235294117647058
488,9.0,-8.058823529411764,0.6949427104342089,-23.82352941176471
490,19.0,1.764705882352942,0.9299011541295739,46.0
492,22.0,4.843137254901961,0.8375339620471893,-39.21568627450981
494,13.0,-4.156862745098039,0.8764815496405728,-54.23529411764707
496,13.0,-4.333333333333332,0.9759836992469036,-21.25490196078431
498,23.0,5.686274509803923,0.8798462610084735,-23.01960784313725
500,13.0,-4.431372549019606,0.7531163994310064,-21.09803921568627
502,15.0,-2.352941176470587,1.1508855627142072,15.058823529411768
504,27.0,9.666666666666668,0.8642958797313618,-5.333333333333336
506,15.0,-2.3137254901960773,0.9873541723359449,-45.76470588235293
508,14.0,-3.2941176470588225,1.061321606206793,-22.19607843137254
510,32.0,14.529411764705884,0.8573796418445355,-27.60784313725489
512,11.0,-6.431372549019606,0.8361008503928075,48.64705882352941
514,14.0,-3.352941176470587,1.057167316132428,-36.31372549019608
516,23.0,5.627450980392158,0.8487924578124829,-33.725490196078425
518,11.0,-6.372549019607842,0.6720534531678887,73.84313725490196
520,17.0,-0.5098039215686292,0.8790432798605662,60.470588235294116
522,24.0,6.568627450980394,0.8680434304530354,-2.0588235294117645
524,11.0,-6.490196078431371,0.8167015361434791,25.411764705882348
526,15.0,-2.549019607843139,1.1151380663947421,28.764705882352942
528,25.0,7.490196078431371,0.8373913682041119,36.176470588235304
530,14.0,-3.666666666666668,0.7645639321651443,-30.431372549019613
532,17.0,-0.5882352941176485,0.9908031588757671,-1.5882352941176467
534,22.0,4.392156862745097,0.803270916381199,-19.960784313725483
536,13.0,-4.5882352941176485,0.9432762076100971,-0.33333333333333304
538,14.0,-3.7058823529411775,1.0250091812474211,66.29411764705881
540,30.0,12.156862745098039,0.8246633799550546,-43.54901960784315
542,10.0,-7.764705882352942,0.7284796100703319,12.372549019607845
544,13.0,-4.862745098039216,0.8888980370888181,-40.76470588235293
546,30.0,12.156862745098039,0.8336253538759489,-20.294117647058826
548,11.0,-6.882352941176471,0.7924152717399549,-12.019607843137251
550,19.0,0.9411764705882355,0.9284150105346001,27.627450980392155
552,23.0,4.96078431372549,0.7926881321833672,-0.8823529411764639
554,11.0,-7.019607843137255,0.7894978109169668,32.84313725490196
556,11.0,-7.019607843137255,0.7846918012617602,11.235294117647058
558,23.0,5.019607843137255,0.796844186443555,-35.90196078431373
560,18.0,-0.09803921568627416,0.8044309273434307,-23.470588235294116
562,14.0,-3.980392156862745,0.9950648107991831,72.27450980392157
564,24.0,5.9411764705882355,0.8353288883552561,3.2745098039215748
566,13.0,-5.156862745098039,0.9195387042748238,-1.882352941176471
568,13.0,-5.215686274509803,0.9074342597724355,-28.784313725490193
570,31.0,12.647058823529413,0.7756126511030513,-46.21568627450981
572,11.0,-7.352941176470587,0.6395584979573827,-42.80392156862746
574,16.0,-2.490196078431371,0.9139838035031107,-37.23529411764706
576,26.0,7.490196078431371,0.911807916192085,-38.07843137254902
578,12.0,-6.529411764705884,0.787192080709137,23.294117647058826
580,19.0,0.15686274509803866,0.9592245521687197,36.23529411764706
582,25.0,6.235294117647058,0.8614634491280484,-29.137254901960787
584,12.0,-6.7058823529411775,0.8221661916962205,1.058823529411768
586,13.0,-5.8235294117647065,0.8980226579400009,-8.82352941176471
588,29.0,10.137254901960784,0.8356127766961731,-45.33333333333333
590,16.0,-2.9411764705882355,0.8136434568300908,-36.529411764705884
592,15.0,-3.8431372549019613,1.003815099603241,-3.980392156862745
594,27.0,8.019607843137255,0.8343864703657277,36.13725490196077
596,12.0,-7.03921568627451,0.8166294449623603,-17.803921568627445
598,15.0,-3.980392156862745,0.897196966251111,7.9411764705882355
